,nces_district_id,state_district_id,lea_name,students,teachers,schools,locale,student_teacher_ratio,percent_of_inexperienced_teachers,percent_of_out_of_field_teachers,student_school_psychologists_ratio,student_support_services_staff_ratio,student_school_counselors_ratio,student_librarians_media_specialists_ratio,percent_title_1_schools,percent_title_1_schoolwide_schools
55,5101830,VA-042,HANOVER CO PBLC SCHS,17541,1153.5,25,Suburb,15.2,2.4,2.6,1754.1,92.5,171.3,565.8,8.0,100.0
56,5101860,VA-113,HARRISONBURG CITY PBLC SCHS,6611,482.1,10,City,13.7,12.4,4.0,1322.2,149.2,194.4,413.2,60.0,100.0
57,5101890,VA-043,HENRICO CO PBLC SCHS,51786,3030.6,81,Suburb,17.1,2.6,0.4,1618.3,82.9,186.8,398.4,25.9,100.0
58,5101920,VA-044,HENRY CO PBLC SCHS,7381,475.2,13,Rural,15.5,3.7,1.9,1845.2,277.5,182.7,388.5,69.2,100.0
59,5101950,VA-045,HIGHLAND CO PBLC SCHS,218,22.8,2,Rural,9.5,6.7,40.0,inf,87.2,,109.0,100.0,0.0
60,5101980,VA-114,HOPEWELL CITY PBLC SCHS,4283,318.9,7,Suburb,13.4,7.3,7.3,4283.0,121.7,194.7,382.4,57.1,100.0
61,5102010,VA-046,ISLE OF WIGHT CO PBLC SCHS,5630,370.0,9,Rural,15.2,4.1,4.4,2815.0,93.1,165.6,552.0,33.3,100.0
62,5102070,VA-049,KING AND QUEEN CO PBLC SCHS,833,56.5,3,Rural,14.7,14.5,10.1,1666.0,94.7,138.8,208.2,66.7,0.0
63,5102100,VA-048,KING GEO CO PBLC SCHS,4518,282.4,5,Town,16.0,3.2,7.3,2259.0,142.1,204.4,868.8,60.0,0.0
64,5102120,VA-050,KING WILLIAM CO PBLC SCHS,2188,143.3,4,Rural,15.3,3.8,0.6,2188.0,312.6,182.3,683.8,25.0,100.0
65,5102160,VA-051,LANCASTER CO PBLC SCHS,1079,82.8,3,Rural,13.0,7.4,7.4,1079.0,56.8,107.9,245.2,33.3,100.0
66,5102190,VA-052,LEE CO PBLC SCHS,3192,262.9,11,Rural,12.1,5.1,8.6,3192.0,99.8,133.0,336.0,72.7,100.0
67,5102220,VA-137,LEXINGTON CITY PBLC SCHS,503,38.1,2,Town,13.2,4.5,0.0,inf,201.2,125.8,5030.0,50.0,0.0
68,5102250,VA-053,LOUDOUN CO PBLC SCHS,83606,5995.1,94,Suburb,13.9,5.0,1.9,1520.1,62.3,153.4,269.3,8.5,100.0
69,5102280,VA-054,LOUISA CO PBLC SCHS,4987,366.1,6,Rural,13.6,5.0,1.4,1108.2,74.5,216.8,412.1,66.7,100.0
70,5102310,VA-055,LUNENBURG CO PBLC SCHS,1590,116.5,4,Rural,13.7,4.9,6.3,inf,119.5,198.8,397.5,50.0,100.0
71,5102340,VA-115,LYNCHBURG CITY PBLC SCHS,8197,600.6,18,City,13.6,6.2,4.6,1639.4,341.5,185.9,236.2,61.1,100.0
72,5102370,VA-056,MADISON CO PBLC SCHS,1659,122.9,4,Rural,13.5,7.0,12.6,1659.0,110.6,165.9,414.8,50.0,100.0
